Horodatage;Machine;Taux de production (u/min);Température (°C);Pression (bar);Défauts détectés;Énergie Consommée (kWh)
2024-04-06 20:35;Remplissage;111;5.4;1.0;Mauvais alignement (0.8%);1.2
2024-04-06 20:40;Remplissage;142;5.7;1.0;Rayures (1%);1.96
2024-04-06 20:45;Remplissage;127;4.5;1.0;Rayures (1%);2.39
2024-04-06 20:50;Soufflage;123;190.9;5.3;Aucun;1.57
2024-04-06 20:55;Remplissage;112;6.3;1.0;Rayures (1%);1.14
2024-04-06 21:00;Carottage;107;5.7;1.0;Déformation (1%);2.47
2024-04-06 21:05;Remplissage;121;6.4;1.0;Rayures (1%);2.71
2024-04-06 21:10;Carottage;137;4.7;1.0;Rayures (1%);1.74
2024-04-06 21:15;Remplissage;150;4.7;1.0;Bulles d'air (2%);2.75
2024-04-06 21:20;Carottage;119;7.3;1.0;Bulles d'air (2%);1.54
2024-04-06 21:25;Remplissage;120;7.4;1.0;Mauvais alignement (0.8%);1.15
2024-04-06 21:30;Soufflage;137;182.9;7.6;Aucun;1.49
2024-04-06 21:35;Carottage;127;4.6;1.0;Rayures (1%);3.0
2024-04-06 21:40;Soufflage;141;194.9;8.2;Aucun;2.42
2024-04-06 21:45;Remplissage;103;5.3;1.0;Rayures (1%);2.28
2024-04-06 21:50;Remplissage;117;5.6;1.0;Bulles d'air (2%);1.88
2024-04-06 21:55;Carottage;100;5.3;1.0;Mauvais alignement (0.8%);1.78
2024-04-06 22:00;Étiquetage;129;5.8;1.0;Bulles d'air (2%);2.72
2024-04-06 22:05;Étiquetage;131;5.2;1.0;Mauvais alignement (0.8%);2.5
2024-04-06 22:10;Remplissage;141;6.3;1.0;Bulles d'air (2%);2.49
2024-04-06 22:15;Étiquetage;143;6.9;1.0;Bulles d'air (2%);1.15
2024-04-06 22:20;Soufflage;126;192.7;8.4;Fuites (1.5%);2.34
2024-04-06 22:25;Carottage;143;5.5;1.0;Fuites (1.5%);1.07
2024-04-06 22:30;Soufflage;125;125.3;5.0;Aucun;2.09
2024-04-06 22:35;Remplissage;140;5.2;1.0;Fuites (1.5%);2.67
2024-04-06 22:40;Soufflage;138;189.1;5.7;Déformation (1%);1.98
2024-04-06 22:45;Soufflage;102;106.7;5.6;Déformation (1%);2.12
2024-04-06 22:50;Remplissage;149;6.3;1.0;Mauvais alignement (0.8%);2.52
2024-04-06 22:55;Étiquetage;121;5.6;1.0;Mauvais alignement (0.8%);2.09
2024-04-06 23:00;Carottage;143;6.9;1.0;Rayures (1%);2.06
2024-04-06 23:05;Carottage;110;5.7;1.0;Mauvais alignement (0.8%);2.01
2024-04-06 23:10;Remplissage;116;4.7;1.0;Déformation (1%);1.09
2024-04-06 23:15;Soufflage;103;112.3;6.2;Aucun;1.86
2024-04-06 23:20;Étiquetage;111;5.7;1.0;Déformation (1%);2.56
2024-04-06 23:25;Soufflage;107;143.1;7.7;Fuites (1.5%);2.31
2024-04-06 23:30;Soufflage;140;107.0;6.2;Rayures (1%);1.35
2024-04-06 23:35;Carottage;126;5.5;1.0;Mauvais alignement (0.8%);2.9
2024-04-06 23:40;Carottage;124;5.9;1.0;Déformation (1%);1.75
2024-04-06 23:45;Étiquetage;127;6.9;1.0;Rayures (1%);1.16
2024-04-06 23:50;Remplissage;136;7.4;1.0;Fuites (1.5%);2.03
2024-04-06 23:55;Remplissage;103;6.7;1.0;Bulles d'air (2%);1.19
2024-04-07 00:00;Remplissage;145;7.0;1.0;Fuites (1.5%);1.14
2024-04-07 00:05;Remplissage;128;5.1;1.0;Déformation (1%);2.5
2024-04-07 00:10;Remplissage;125;5.1;1.0;Aucun;1.76
2024-04-07 00:15;Carottage;127;6.5;1.0;Mauvais alignement (0.8%);2.35
2024-04-07 00:20;Carottage;121;7.1;1.0;Aucun;2.86
2024-04-07 00:25;Remplissage;118;5.0;1.0;Aucun;2.74
2024-04-07 00:30;Carottage;127;5.7;1.0;Fuites (1.5%);3.0
2024-04-07 00:35;Soufflage;140;104.3;7.5;Bulles d'air (2%);2.62
2024-04-07 00:40;Remplissage;113;6.9;1.0;Mauvais alignement (0.8%);1.38
2024-04-07 00:45;Étiquetage;120;6.7;1.0;Bulles d'air (2%);1.31
2024-04-07 00:50;Étiquetage;130;5.8;1.0;Mauvais alignement (0.8%);2.55
2024-04-07 00:55;Remplissage;139;4.5;1.0;Bulles d'air (2%);2.08
2024-04-07 01:00;Remplissage;124;4.8;1.0;Mauvais alignement (0.8%);1.0
2024-04-07 01:05;Soufflage;143;168.7;8.0;Mauvais alignement (0.8%);1.23
2024-04-07 01:10;Étiquetage;109;6.9;1.0;Bulles d'air (2%);1.24
2024-04-07 01:15;Étiquetage;149;6.0;1.0;Déformation (1%);2.66
2024-04-07 01:20;Étiquetage;146;5.8;1.0;Aucun;2.07
2024-04-07 01:25;Soufflage;120;196.9;8.3;Aucun;1.54
2024-04-07 01:30;Remplissage;134;6.6;1.0;Aucun;2.28
2024-04-07 01:35;Soufflage;115;165.8;6.6;Mauvais alignement (0.8%);2.11
2024-04-07 01:40;Soufflage;127;131.0;7.3;Mauvais alignement (0.8%);2.98
2024-04-07 01:45;Carottage;127;5.8;1.0;Mauvais alignement (0.8%);2.46
2024-04-07 01:50;Remplissage;129;4.8;1.0;Aucun;1.57
2024-04-07 01:55;Remplissage;136;4.7;1.0;Déformation (1%);2.4
2024-04-07 02:00;Remplissage;132;6.8;1.0;Bulles d'air (2%);2.53
2024-04-07 02:05;Soufflage;103;185.7;5.6;Bulles d'air (2%);1.6
2024-04-07 02:10;Remplissage;129;5.9;1.0;Déformation (1%);1.16
2024-04-07 02:15;Étiquetage;138;5.8;1.0;Aucun;2.84
2024-04-07 02:20;Remplissage;125;5.5;1.0;Fuites (1.5%);2.07
2024-04-07 02:25;Soufflage;108;192.7;8.3;Aucun;2.05
2024-04-07 02:30;Soufflage;141;130.3;8.3;Aucun;2.03
2024-04-07 02:35;Remplissage;120;5.1;1.0;Déformation (1%);1.36
2024-04-07 02:40;Étiquetage;138;4.6;1.0;Bulles d'air (2%);2.37
2024-04-07 02:45;Remplissage;134;7.1;1.0;Mauvais alignement (0.8%);2.65
2024-04-07 02:50;Étiquetage;130;7.3;1.0;Mauvais alignement (0.8%);1.23
2024-04-07 02:55;Carottage;131;7.4;1.0;Déformation (1%);1.39
2024-04-07 03:00;Carottage;109;4.5;1.0;Aucun;2.34
2024-04-07 03:05;Étiquetage;135;5.6;1.0;Rayures (1%);2.71
2024-04-07 03:10;Soufflage;141;131.3;6.4;Mauvais alignement (0.8%);1.42
2024-04-07 03:15;Carottage;132;4.6;1.0;Rayures (1%);1.7
2024-04-07 03:20;Remplissage;105;7.0;1.0;Déformation (1%);1.71
2024-04-07 03:25;Soufflage;117;104.1;7.4;Bulles d'air (2%);2.77
2024-04-07 03:30;Carottage;118;5.8;1.0;Rayures (1%);2.1
2024-04-07 03:35;Étiquetage;137;7.3;1.0;Déformation (1%);2.44
2024-04-07 03:40;Étiquetage;140;6.7;1.0;Rayures (1%);2.65
2024-04-07 03:45;Carottage;132;6.1;1.0;Fuites (1.5%);2.72
2024-04-07 03:50;Étiquetage;116;6.7;1.0;Rayures (1%);2.32
2024-04-07 03:55;Étiquetage;133;7.1;1.0;Mauvais alignement (0.8%);2.25
2024-04-07 04:00;Carottage;100;6.8;1.0;Bulles d'air (2%);1.69
2024-04-07 04:05;Soufflage;116;166.3;5.4;Bulles d'air (2%);2.21
2024-04-07 04:10;Remplissage;135;6.0;1.0;Aucun;2.93
2024-04-07 04:15;Soufflage;105;186.9;5.6;Mauvais alignement (0.8%);2.13
2024-04-07 04:20;Remplissage;150;7.2;1.0;Mauvais alignement (0.8%);1.86
2024-04-07 04:25;Étiquetage;113;6.7;1.0;Mauvais alignement (0.8%);2.05
2024-04-07 04:30;Carottage;126;5.7;1.0;Mauvais alignement (0.8%);2.22
2024-04-07 04:35;Étiquetage;139;6.6;1.0;Rayures (1%);1.41
2024-04-07 04:40;Étiquetage;101;5.8;1.0;Rayures (1%);1.66
2024-04-07 04:45;Remplissage;128;7.3;1.0;Rayures (1%);2.81
2024-04-07 04:50;Carottage;143;6.1;1.0;Rayures (1%);1.4
2024-04-07 04:55;Carottage;127;6.6;1.0;Mauvais alignement (0.8%);1.61
2024-04-07 05:00;Étiquetage;149;6.3;1.0;Aucun;1.73
2024-04-07 05:05;Étiquetage;127;7.1;1.0;Déformation (1%);2.96
2024-04-07 05:10;Remplissage;131;5.6;1.0;Rayures (1%);2.46
2024-04-07 05:15;Étiquetage;122;5.5;1.0;Rayures (1%);2.5
2024-04-07 05:20;Étiquetage;129;4.6;1.0;Rayures (1%);2.22
2024-04-07 05:25;Étiquetage;120;5.4;1.0;Rayures (1%);2.55
2024-04-07 05:30;Soufflage;132;164.6;8.1;Fuites (1.5%);1.43
2024-04-07 05:35;Soufflage;139;135.0;7.5;Déformation (1%);2.23
2024-04-07 05:40;Remplissage;150;7.1;1.0;Bulles d'air (2%);1.51
2024-04-07 05:45;Étiquetage;140;5.0;1.0;Déformation (1%);2.03
2024-04-07 05:50;Étiquetage;115;6.4;1.0;Rayures (1%);1.45
2024-04-07 05:55;Carottage;150;6.0;1.0;Rayures (1%);2.59
2024-04-07 06:00;Soufflage;138;168.8;6.8;Fuites (1.5%);2.34
2024-04-07 06:05;Remplissage;100;6.3;1.0;Rayures (1%);1.82
2024-04-07 06:10;Carottage;118;5.7;1.0;Mauvais alignement (0.8%);2.18
2024-04-07 06:15;Étiquetage;128;5.7;1.0;Déformation (1%);2.45
2024-04-07 06:20;Soufflage;145;144.2;7.1;Rayures (1%);2.77
2024-04-07 06:25;Remplissage;147;6.8;1.0;Rayures (1%);2.37
2024-04-07 06:30;Carottage;136;6.8;1.0;Fuites (1.5%);2.57
2024-04-07 06:35;Remplissage;140;6.8;1.0;Fuites (1.5%);1.04
2024-04-07 06:40;Remplissage;150;5.7;1.0;Rayures (1%);2.64
2024-04-07 06:45;Étiquetage;105;5.3;1.0;Bulles d'air (2%);2.95
2024-04-07 06:50;Étiquetage;142;6.1;1.0;Mauvais alignement (0.8%);2.77
2024-04-07 06:55;Remplissage;135;4.5;1.0;Fuites (1.5%);2.08
2024-04-07 07:00;Étiquetage;121;6.0;1.0;Rayures (1%);2.03
2024-04-07 07:05;Soufflage;149;191.5;6.7;Bulles d'air (2%);2.88
2024-04-07 07:10;Remplissage;122;4.8;1.0;Rayures (1%);1.76
2024-04-07 07:15;Remplissage;141;6.6;1.0;Fuites (1.5%);1.18
2024-04-07 07:20;Soufflage;105;172.6;6.7;Fuites (1.5%);1.96
2024-04-07 07:25;Carottage;122;5.1;1.0;Déformation (1%);1.88
2024-04-07 07:30;Carottage;142;6.5;1.0;Aucun;1.51
2024-04-07 07:35;Étiquetage;142;4.9;1.0;Fuites (1.5%);1.02
2024-04-07 07:40;Remplissage;131;5.1;1.0;Aucun;2.48
2024-04-07 07:45;Carottage;132;6.6;1.0;Mauvais alignement (0.8%);2.83
2024-04-07 07:50;Soufflage;115;128.5;5.8;Rayures (1%);2.2
2024-04-07 07:55;Étiquetage;104;4.6;1.0;Bulles d'air (2%);1.38
2024-04-07 08:00;Soufflage;100;162.7;6.5;Rayures (1%);2.67
2024-04-07 08:05;Remplissage;121;7.0;1.0;Mauvais alignement (0.8%);1.03
2024-04-07 08:10;Carottage;120;5.4;1.0;Bulles d'air (2%);1.41
2024-04-07 08:15;Soufflage;147;128.6;7.7;Mauvais alignement (0.8%);1.38
2024-04-07 08:20;Carottage;113;7.3;1.0;Aucun;3.0
2024-04-07 08:25;Soufflage;142;191.3;6.2;Mauvais alignement (0.8%);2.83
2024-04-07 08:30;Carottage;134;5.8;1.0;Rayures (1%);1.64
2024-04-07 08:35;Remplissage;143;5.1;1.0;Aucun;1.28
2024-04-07 08:40;Remplissage;143;4.7;1.0;Bulles d'air (2%);1.59
2024-04-07 08:45;Étiquetage;143;4.8;1.0;Fuites (1.5%);1.58
2024-04-07 08:50;Remplissage;148;4.9;1.0;Rayures (1%);1.62
2024-04-07 08:55;Carottage;101;6.1;1.0;Bulles d'air (2%);2.09
2024-04-07 09:00;Soufflage;130;130.7;8.5;Aucun;1.58
2024-04-07 09:05;Remplissage;115;4.5;1.0;Mauvais alignement (0.8%);1.75
2024-04-07 09:10;Soufflage;110;190.2;7.2;Mauvais alignement (0.8%);2.71
2024-04-07 09:15;Remplissage;140;6.2;1.0;Mauvais alignement (0.8%);2.76
2024-04-07 09:20;Étiquetage;109;6.4;1.0;Aucun;2.17
2024-04-07 09:25;Étiquetage;119;7.3;1.0;Rayures (1%);1.68
2024-04-07 09:30;Remplissage;149;7.0;1.0;Bulles d'air (2%);2.06
2024-04-07 09:35;Soufflage;108;132.4;5.4;Rayures (1%);1.2
2024-04-07 09:40;Soufflage;124;146.6;5.7;Fuites (1.5%);1.03
2024-04-07 09:45;Remplissage;129;5.2;1.0;Fuites (1.5%);1.82
2024-04-07 09:50;Soufflage;121;166.5;5.2;Mauvais alignement (0.8%);1.24
2024-04-07 09:55;Carottage;103;4.6;1.0;Bulles d'air (2%);2.45
2024-04-07 10:00;Étiquetage;112;5.8;1.0;Déformation (1%);1.87
2024-04-07 10:05;Carottage;125;6.8;1.0;Mauvais alignement (0.8%);1.76
2024-04-07 10:10;Remplissage;133;7.1;1.0;Aucun;2.73
2024-04-07 10:15;Carottage;145;5.0;1.0;Déformation (1%);1.44
2024-04-07 10:20;Soufflage;111;165.1;4.7;Fuites (1.5%);2.83
2024-04-07 10:25;Carottage;136;5.8;1.0;Fuites (1.5%);2.8
2024-04-07 10:30;Carottage;109;6.9;1.0;Fuites (1.5%);2.29
2024-04-07 10:35;Étiquetage;121;7.3;1.0;Aucun;1.48
2024-04-07 10:40;Carottage;102;6.0;1.0;Bulles d'air (2%);1.54
2024-04-07 10:45;Étiquetage;114;5.9;1.0;Aucun;1.78
2024-04-07 10:50;Carottage;126;5.3;1.0;Rayures (1%);1.32
2024-04-07 10:55;Soufflage;119;191.5;4.7;Déformation (1%);1.81
2024-04-07 11:00;Carottage;117;5.3;1.0;Fuites (1.5%);1.75
2024-04-07 11:05;Carottage;131;5.5;1.0;Fuites (1.5%);2.47
2024-04-07 11:10;Remplissage;118;5.9;1.0;Aucun;1.44
2024-04-07 11:15;Remplissage;115;7.4;1.0;Rayures (1%);1.42
2024-04-07 11:20;Carottage;110;5.9;1.0;Rayures (1%);1.16
2024-04-07 11:25;Remplissage;111;5.4;1.0;Aucun;2.66
2024-04-07 11:30;Remplissage;128;5.1;1.0;Aucun;1.24
2024-04-07 11:35;Soufflage;132;158.6;6.3;Mauvais alignement (0.8%);2.82
2024-04-07 11:40;Carottage;100;5.1;1.0;Fuites (1.5%);2.49
2024-04-07 11:45;Carottage;138;4.8;1.0;Bulles d'air (2%);2.77
2024-04-07 11:50;Soufflage;150;115.1;7.5;Aucun;2.44
2024-04-07 11:55;Étiquetage;140;4.9;1.0;Bulles d'air (2%);2.12
2024-04-07 12:00;Soufflage;114;133.9;5.5;Fuites (1.5%);1.67
2024-04-07 12:05;Carottage;142;6.9;1.0;Bulles d'air (2%);2.47
2024-04-07 12:10;Soufflage;119;145.6;7.1;Rayures (1%);1.33
2024-04-07 12:15;Remplissage;147;6.9;1.0;Fuites (1.5%);2.1
2024-04-07 12:20;Étiquetage;129;6.8;1.0;Bulles d'air (2%);1.36
2024-04-07 12:25;Remplissage;122;5.2;1.0;Aucun;1.91
2024-04-07 12:30;Remplissage;150;5.9;1.0;Aucun;2.7
2024-04-07 12:35;Soufflage;124;199.9;8.4;Mauvais alignement (0.8%);1.52
2024-04-07 12:40;Carottage;135;6.2;1.0;Déformation (1%);1.7
2024-04-07 12:45;Carottage;141;4.8;1.0;Rayures (1%);1.76
2024-04-07 12:50;Carottage;132;7.4;1.0;Mauvais alignement (0.8%);2.42
2024-04-07 12:55;Étiquetage;114;7.0;1.0;Fuites (1.5%);1.51
2024-04-07 13:00;Remplissage;133;4.7;1.0;Mauvais alignement (0.8%);2.54
2024-04-07 13:05;Remplissage;126;4.9;1.0;Bulles d'air (2%);1.65
2024-04-07 13:10;Remplissage;105;5.3;1.0;Déformation (1%);2.28
2024-04-07 13:15;Étiquetage;106;6.9;1.0;Rayures (1%);1.66
2024-04-07 13:20;Soufflage;129;142.5;5.3;Déformation (1%);2.5
2024-04-07 13:25;Carottage;108;6.5;1.0;Aucun;1.82
2024-04-07 13:30;Carottage;101;4.9;1.0;Fuites (1.5%);1.41
2024-04-07 13:35;Soufflage;135;118.2;6.9;Bulles d'air (2%);1.74
2024-04-07 13:40;Carottage;106;7.1;1.0;Rayures (1%);2.4
2024-04-07 13:45;Carottage;118;7.1;1.0;Fuites (1.5%);1.41
2024-04-07 13:50;Soufflage;100;117.2;4.6;Fuites (1.5%);1.76
2024-04-07 13:55;Étiquetage;117;6.8;1.0;Rayures (1%);2.22
2024-04-07 14:00;Soufflage;114;143.4;6.6;Bulles d'air (2%);1.37
2024-04-07 14:05;Étiquetage;146;6.2;1.0;Fuites (1.5%);1.06
2024-04-07 14:10;Étiquetage;123;6.0;1.0;Mauvais alignement (0.8%);1.14
2024-04-07 14:15;Soufflage;106;190.1;7.9;Fuites (1.5%);2.59
2024-04-07 14:20;Carottage;138;6.4;1.0;Mauvais alignement (0.8%);1.59
2024-04-07 14:25;Soufflage;110;127.9;8.3;Mauvais alignement (0.8%);1.49
2024-04-07 14:30;Carottage;118;6.9;1.0;Déformation (1%);2.27
2024-04-07 14:35;Carottage;140;5.5;1.0;Mauvais alignement (0.8%);2.38
2024-04-07 14:40;Remplissage;123;4.8;1.0;Rayures (1%);2.45
2024-04-07 14:45;Étiquetage;116;4.7;1.0;Déformation (1%);2.51
2024-04-07 14:50;Carottage;113;7.4;1.0;Fuites (1.5%);2.19
2024-04-07 14:55;Soufflage;129;147.2;4.7;Déformation (1%);2.35
2024-04-07 15:00;Carottage;137;6.8;1.0;Bulles d'air (2%);2.42
2024-04-07 15:05;Remplissage;149;5.4;1.0;Aucun;1.37
2024-04-07 15:10;Carottage;137;6.3;1.0;Fuites (1.5%);2.71
2024-04-07 15:15;Remplissage;138;6.9;1.0;Mauvais alignement (0.8%);2.73
2024-04-07 15:20;Étiquetage;132;5.7;1.0;Mauvais alignement (0.8%);1.05
2024-04-07 15:25;Étiquetage;136;6.3;1.0;Bulles d'air (2%);2.67
2024-04-07 15:30;Carottage;150;4.9;1.0;Déformation (1%);2.9
2024-04-07 15:35;Carottage;128;7.1;1.0;Rayures (1%);1.68
2024-04-07 15:40;Remplissage;116;7.4;1.0;Fuites (1.5%);2.48
2024-04-07 15:45;Remplissage;131;6.8;1.0;Fuites (1.5%);1.74
2024-04-07 15:50;Carottage;102;4.9;1.0;Aucun;1.71
2024-04-07 15:55;Carottage;133;5.5;1.0;Mauvais alignement (0.8%);2.8
2024-04-07 16:00;Remplissage;107;4.6;1.0;Mauvais alignement (0.8%);1.43
2024-04-07 16:05;Carottage;135;7.2;1.0;Mauvais alignement (0.8%);2.13
2024-04-07 16:10;Soufflage;123;199.7;5.6;Bulles d'air (2%);1.23
2024-04-07 16:15;Remplissage;136;7.2;1.0;Rayures (1%);2.73
2024-04-07 16:20;Soufflage;146;126.2;8.0;Mauvais alignement (0.8%);2.82
2024-04-07 16:25;Remplissage;143;6.7;1.0;Aucun;2.21
2024-04-07 16:30;Remplissage;104;5.2;1.0;Aucun;1.9
2024-04-07 16:35;Soufflage;114;196.9;7.6;Mauvais alignement (0.8%);1.86
2024-04-07 16:40;Soufflage;101;124.4;8.5;Déformation (1%);1.4
2024-04-07 16:45;Soufflage;132;173.3;8.1;Aucun;2.26
2024-04-07 16:50;Carottage;114;5.3;1.0;Déformation (1%);2.19
2024-04-07 16:55;Étiquetage;125;4.6;1.0;Aucun;2.85
2024-04-07 17:00;Carottage;126;4.8;1.0;Mauvais alignement (0.8%);1.6
2024-04-07 17:05;Étiquetage;115;7.1;1.0;Rayures (1%);1.47
2024-04-07 17:10;Soufflage;133;198.3;7.8;Déformation (1%);2.5
2024-04-07 17:15;Soufflage;132;121.7;7.6;Mauvais alignement (0.8%);2.06
2024-04-07 17:20;Soufflage;134;129.3;5.9;Mauvais alignement (0.8%);2.6
2024-04-07 17:25;Soufflage;137;164.8;8.0;Mauvais alignement (0.8%);2.12
2024-04-07 17:30;Soufflage;145;181.5;8.2;Rayures (1%);1.41
2024-04-07 17:35;Étiquetage;142;7.2;1.0;Mauvais alignement (0.8%);1.56
2024-04-07 17:40;Carottage;141;7.1;1.0;Bulles d'air (2%);1.45
2024-04-07 17:45;Soufflage;115;118.0;5.4;Mauvais alignement (0.8%);2.11
2024-04-07 17:50;Étiquetage;146;5.2;1.0;Fuites (1.5%);1.09
2024-04-07 17:55;Carottage;149;5.6;1.0;Mauvais alignement (0.8%);2.88
2024-04-07 18:00;Soufflage;148;114.0;8.5;Déformation (1%);1.92
2024-04-07 18:05;Soufflage;122;115.9;8.0;Aucun;2.27
2024-04-07 18:10;Étiquetage;139;6.2;1.0;Bulles d'air (2%);2.73
2024-04-07 18:15;Étiquetage;100;7.1;1.0;Mauvais alignement (0.8%);2.6
2024-04-07 18:20;Carottage;121;4.8;1.0;Bulles d'air (2%);2.55
2024-04-07 18:25;Soufflage;146;174.6;7.0;Rayures (1%);2.03
2024-04-07 18:30;Carottage;105;6.6;1.0;Mauvais alignement (0.8%);2.62
2024-04-07 18:35;Remplissage;108;6.5;1.0;Mauvais alignement (0.8%);2.41
2024-04-07 18:40;Remplissage;110;6.6;1.0;Déformation (1%);2.6
2024-04-07 18:45;Remplissage;118;5.8;1.0;Aucun;2.37
2024-04-07 18:50;Remplissage;104;6.2;1.0;Mauvais alignement (0.8%);1.71
2024-04-07 18:55;Étiquetage;124;5.4;1.0;Mauvais alignement (0.8%);2.48
2024-04-07 19:00;Carottage;124;4.5;1.0;Fuites (1.5%);2.14
2024-04-07 19:05;Carottage;120;6.7;1.0;Rayures (1%);2.77
2024-04-07 19:10;Soufflage;111;186.2;6.3;Mauvais alignement (0.8%);2.99
2024-04-07 19:15;Étiquetage;125;5.4;1.0;Bulles d'air (2%);2.96
2024-04-07 19:20;Carottage;102;5.8;1.0;Mauvais alignement (0.8%);1.9
2024-04-07 19:25;Étiquetage;111;5.8;1.0;Déformation (1%);2.82
2024-04-07 19:30;Carottage;100;5.9;1.0;Mauvais alignement (0.8%);2.05
2024-04-07 19:35;Carottage;148;7.2;1.0;Déformation (1%);2.66
2024-04-07 19:40;Remplissage;102;7.1;1.0;Bulles d'air (2%);2.88
2024-04-07 19:45;Étiquetage;124;5.6;1.0;Fuites (1.5%);2.38
2024-04-07 19:50;Carottage;145;5.5;1.0;Rayures (1%);1.49
2024-04-07 19:55;Soufflage;121;189.2;7.5;Fuites (1.5%);2.44
2024-04-07 20:00;Soufflage;143;188.1;5.9;Rayures (1%);1.63
2024-04-07 20:05;Remplissage;105;7.2;1.0;Mauvais alignement (0.8%);1.43
2024-04-07 20:10;Étiquetage;149;5.4;1.0;Aucun;1.52
2024-04-07 20:15;Remplissage;113;7.4;1.0;Déformation (1%);1.85
2024-04-07 20:20;Étiquetage;120;5.7;1.0;Rayures (1%);1.28
2024-04-07 20:25;Remplissage;148;4.9;1.0;Rayures (1%);2.11
2024-04-07 20:30;Carottage;133;6.5;1.0;Fuites (1.5%);1.35
2024-04-07 20:35;Étiquetage;120;4.6;1.0;Aucun;1.16
2024-04-07 20:40;Étiquetage;100;4.9;1.0;Mauvais alignement (0.8%);1.88
2024-04-07 20:45;Carottage;112;6.9;1.0;Fuites (1.5%);2.61
2024-04-07 20:50;Remplissage;106;6.8;1.0;Aucun;1.44
2024-04-07 20:55;Étiquetage;132;5.0;1.0;Déformation (1%);1.62
2024-04-07 21:00;Soufflage;120;157.6;5.4;Aucun;2.65
2024-04-07 21:05;Soufflage;128;189.0;4.6;Aucun;2.42
2024-04-07 21:10;Remplissage;149;5.0;1.0;Mauvais alignement (0.8%);1.53
2024-04-07 21:15;Remplissage;144;6.8;1.0;Aucun;1.63
2024-04-07 21:20;Remplissage;146;5.6;1.0;Fuites (1.5%);1.59
2024-04-07 21:25;Soufflage;116;179.4;5.8;Aucun;1.98
2024-04-07 21:30;Carottage;136;7.3;1.0;Bulles d'air (2%);1.75
2024-04-07 21:35;Étiquetage;119;5.7;1.0;Déformation (1%);1.41
2024-04-07 21:40;Soufflage;115;120.0;7.3;Déformation (1%);1.65
2024-04-07 21:45;Soufflage;140;188.3;4.9;Déformation (1%);1.54
2024-04-07 21:50;Soufflage;138;104.8;6.1;Rayures (1%);1.82
2024-04-07 21:55;Étiquetage;109;4.7;1.0;Rayures (1%);1.36
2024-04-07 22:00;Carottage;134;6.1;1.0;Mauvais alignement (0.8%);1.33
2024-04-07 22:05;Remplissage;102;5.4;1.0;Déformation (1%);1.8
2024-04-07 22:10;Remplissage;132;6.6;1.0;Fuites (1.5%);1.58
2024-04-07 22:15;Remplissage;143;7.1;1.0;Fuites (1.5%);1.26
2024-04-07 22:20;Carottage;115;7.4;1.0;Mauvais alignement (0.8%);2.41
2024-04-07 22:25;Soufflage;122;187.7;7.0;Rayures (1%);2.52
2024-04-07 22:30;Carottage;116;6.6;1.0;Bulles d'air (2%);1.07
2024-04-07 22:35;Carottage;123;7.1;1.0;Fuites (1.5%);1.14
2024-04-07 22:40;Étiquetage;109;5.5;1.0;Déformation (1%);2.1
2024-04-07 22:45;Soufflage;150;143.7;8.0;Déformation (1%);1.03
2024-04-07 22:50;Étiquetage;103;4.8;1.0;Mauvais alignement (0.8%);2.35
2024-04-07 22:55;Remplissage;133;7.0;1.0;Fuites (1.5%);1.53
2024-04-07 23:00;Étiquetage;150;5.3;1.0;Fuites (1.5%);2.75
2024-04-07 23:05;Carottage;120;5.5;1.0;Bulles d'air (2%);2.81
2024-04-07 23:10;Soufflage;107;156.9;7.9;Déformation (1%);1.58
2024-04-07 23:15;Carottage;135;6.5;1.0;Déformation (1%);2.18
2024-04-07 23:20;Soufflage;135;141.9;6.6;Fuites (1.5%);1.63
2024-04-07 23:25;Carottage;111;5.0;1.0;Aucun;2.8
2024-04-07 23:30;Étiquetage;116;4.7;1.0;Déformation (1%);2.38
2024-04-07 23:35;Étiquetage;115;4.6;1.0;Mauvais alignement (0.8%);2.52
2024-04-07 23:40;Étiquetage;108;6.4;1.0;Fuites (1.5%);2.49
2024-04-07 23:45;Carottage;114;5.5;1.0;Aucun;2.72
2024-04-07 23:50;Soufflage;136;196.6;5.2;Fuites (1.5%);2.33
2024-04-07 23:55;Soufflage;137;170.7;5.9;Bulles d'air (2%);1.95
2024-04-08 00:00;Étiquetage;146;4.6;1.0;Mauvais alignement (0.8%);2.88
2024-04-08 00:05;Remplissage;114;5.7;1.0;Bulles d'air (2%);1.89
2024-04-08 00:10;Remplissage;134;5.9;1.0;Fuites (1.5%);1.8
2024-04-08 00:15;Carottage;111;4.8;1.0;Aucun;1.53
2024-04-08 00:20;Soufflage;131;172.0;6.3;Fuites (1.5%);2.8
2024-04-08 00:25;Étiquetage;104;5.8;1.0;Déformation (1%);1.2
2024-04-08 00:30;Carottage;109;5.1;1.0;Fuites (1.5%);2.64
2024-04-08 00:35;Soufflage;136;104.6;4.8;Rayures (1%);2.19
2024-04-08 00:40;Étiquetage;146;5.5;1.0;Rayures (1%);2.61
2024-04-08 00:45;Remplissage;105;5.2;1.0;Aucun;2.22
2024-04-08 00:50;Étiquetage;103;4.9;1.0;Fuites (1.5%);2.74
2024-04-08 00:55;Soufflage;145;195.9;7.9;Aucun;2.38
2024-04-08 01:00;Carottage;144;4.8;1.0;Aucun;1.64
2024-04-08 01:05;Carottage;145;5.2;1.0;Bulles d'air (2%);2.81
2024-04-08 01:10;Étiquetage;126;5.9;1.0;Aucun;1.43
